didok;station_name;accessible_ticket;accessible_wc;rollstuhl_verlad;mobilift;stepless_perron;bats;autelca;automat_ktu;geopos;TUNummer;Betriebspunkttyp
10;Basel SBB;1;1;1;1;1;10 Min. Übergangszeit für Züge von und nach Frankreich;0;19;47.5474041527, 7.58955146721;1;Haltestelle
2213;Wohlen;1;1;1;1;1;;0;2;47.3484618374, 8.26978121872;1;Haltestelle_und_Bedienpunkt
2116;Schinznach Bad;0;0;0;0;0;;0;1;47.4517752695, 8.16692832223;1;Haltestelle
2211;Hendschiken;1;0;1;0;0;;0;1;47.3894242237, 8.20737399629;1;Haltestelle
2226;Knonau;0;0;0;1;1;;0;1;47.2202591199, 8.4667085831;1;Haltestelle
3105;Uetikon;0;0;1;1;1;;0;1;47.2590294057, 8.678774746;1;Haltestelle_und_Bedienpunkt
3015;Zürich Wipkingen;0;0;1;0;0;;0;1;47.3930313233, 8.52935905447;1;Haltestelle
3112;Kempraten;0;0;0;0;0;;0;1;47.2383929337, 8.81429184846;1;Haltestelle
3100;Zollikon;0;0;0;0;1;;0;1;47.3373317337, 8.569717612;1;Haltestelle
3502;Siggenthal-Würenlingen;0;0;0;0;0;Postauto fahren ab Bahnhofplatz;0;1;47.5179218559, 8.24015363326;1;Haltestelle_und_Bedienpunkt
3505;Wettingen;0;0;1;1;1;Gleise 1, 3, 4 und 5 stufenlos zugänglich.;0;0;47.4596367944, 8.3159863528;1;Haltestelle_und_Bedienpunkt
3427;Schlatt;0;0;0;0;1;;0;0;47.6795011585, 8.68749675648;1;Haltestelle_und_Bedienpunkt
3527;Buchs-Dällikon;0;0;0;0;1;;0;1;47.4533973239, 8.43557852512;1;Haltestelle
3429;Schlattingen;0;0;0;0;1;;0;0;47.6666263051, 8.77041438581;1;Haltestelle
4007;Moreillon;0;0;0;0;0;;0;1;46.5083872786, 6.78564812794;1;Haltestelle
2237;Lupfig;0;0;0;1;1;Postautohaltestelle Lupfig Bahnhof = 3 Minuten vom Bahnhof entfernt;0;0;47.4451758366, 8.21496733295;1;Haltestelle_und_Bedienpunkt
3007;Zürich Seebach;0;0;0;0;1;;0;1;47.4187469105, 8.54463614173;1;Haltestelle_und_Bedienpunkt
3001;Zürich Altstetten;1;1;1;1;1;;0;2;47.3914808361, 8.4889402654;1;Haltestelle
2229;Urdorf Weihermatt;0;0;0;0;1;;0;1;47.3809708849, 8.43033031194;1;Haltestelle
3011;Zürich Wiedikon;0;0;0;0;1;;0;2;47.3714716204, 8.52346258297;1;Haltestelle
2300;Zug Postplatz;0;0;0;0;1;;0;1;47.168273486, 8.51691604796;1;Haltestelle
2231;Zug Oberwil;0;0;0;0;1;;0;0;47.147675872, 8.50992153777;1;Haltestelle
3313;Niederglatt;0;0;0;1;1;;0;1;47.4874689477, 8.50329612568;1;Haltestelle_und_Bedienpunkt
3316;Steinmaur;0;0;0;0;0;;0;1;47.4899801946, 8.4468407224;1;Haltestelle_und_Bedienpunkt
3304;Kemptthal;0;0;0;0;0;;0;0;47.452833265, 8.70557069755;1;Haltestelle_und_Bedienpunkt
3420;Lottstetten;0;0;0;0;1;;0;1;47.6257356296, 8.56680664761;1;Haltestelle
3409;Bad Zurzach;0;0;1;1;1;;0;1;47.5883101087, 8.29556465398;1;Haltestelle
3425;Feuerthalen;0;0;0;0;1;;0;0;47.6921636376, 8.64595208918;1;Haltestelle
3421;Jestetten;0;0;0;0;1;;0;1;47.6544006039, 8.57327389271;1;Haltestelle
3414;Mellikon;0;0;0;0;1;;0;0;47.5684839744, 8.35249723256;1;Haltestelle
2113;Aarau;1;1;1;1;1;"PTT/BBA ab Bahnhofplatz;; WSB ab Geleise 11-13";0;10;47.3913553369, 8.05125354274;1;Haltestelle_und_Bedienpunkt
2105;Othmarsingen;0;0;1;0;0;;0;1;47.4074269011, 8.21478836445;1;Haltestelle_und_Bedienpunkt
2025;Baldegg;0;0;0;1;0;;0;1;47.1856838433, 8.28020982028;1;Haltestelle_und_Bedienpunkt
2012;Rothenburg Dorf;0;0;0;0;1;;0;1;47.0909062076, 8.27317678808;1;Haltestelle
2008;Nottwil;0;0;1;1;1;;0;1;47.1388047171, 8.13858805823;1;Haltestelle
3301;Pfäffikon ZH;0;0;1;1;1;;0;2;47.3670842127, 8.78477640275;1;Haltestelle_und_Bedienpunkt
3303;Illnau;0;0;0;1;1;;0;1;47.4088192343, 8.72270382261;1;Haltestelle_und_Bedienpunkt
3234;Nidfurn-Haslen;0;0;0;0;0;;0;1;46.9858964537, 9.05925879887;1;Haltestelle
3139;Tann-Dürnten;0;0;0;0;1;;0;0;47.2683703417, 8.85270412923;1;Haltestelle
3235;Leuggelbach;0;0;0;0;0;;0;1;46.9757415966, 9.04692465402;1;Haltestelle
3232;Mitlödi;0;0;0;0;0;;0;1;47.0101282312, 9.08119403324;1;Haltestelle
3115;Schmerikon;0;0;0;0;0;;0;1;47.2251558732, 8.94336741805;1;Haltestelle
3136;Fischenthal;0;0;0;0;1;;0;0;47.333298028, 8.92327465614;1;Haltestelle
3117;Kaltbrunn;0;0;0;0;0;;0;1;47.2179781456, 9.02241755712;1;Haltestelle
3122;Bubikon;0;0;1;1;1;;0;1;47.2708395927, 8.82270102308;1;Haltestelle
3113;Blumenau;0;0;0;0;0;;0;0;47.2236693254, 8.84238332851;1;Haltestelle
4014;Palézieux;1;1;1;1;1;Trains TPF, bus TPF et bus La Poste sur la place de la gare;0;2;46.5427523751, 6.83787768542;1;Haltestelle_und_Bedienpunkt
