Code;Station;Year;DTV;DWV;Owner;Comments;geopos
GD;Arth-Goldau;2014;12600;13100;SBB;Passagierfrequenzen: ohne RB.;47.04915622, 8.54949116322
ABO;Aarburg-Oftringen;2014;2000;2500;SBB;;47.3202667174, 7.90820373354
BAAL;Baar Lindenpark;2014;1100;1400;SBB;;47.1831330124, 8.5170440227
ALTD;Altendorf;2014;800;940;SBB;;47.193966384, 8.82288898291
AUV;Auvernier;2014;380;410;CFF;;46.9796312118, 6.87770603996
AV;Avenches;2014;640;760;CFF;;46.8845963101, 7.04091658825
MOR;Morges;2014;15100;18000;CFF;Passagierfrequenzen: ohne MBC.;46.5110918027, 6.49396427184
NY;Nyon;2014;16900;20400;CFF;Passagierfrequenzen: ohne NstCM.;46.3844060313, 6.23597429701
NOU;Nieder- und Oberurnen;2014;470;560;SBB;;47.122362606, 9.0623744371
OB;Oberbuchsiten;2014;690;810;SBB;;47.3052431626, 7.77171069136
MGT;Murgenthal;2014;500;620;SBB;;47.2653781303, 7.83209989652
NB;Niederbipp;2014;560;640;SBB;;47.2703963923, 7.69480825358
NOI;Noiraigue;2014;350;330;CFF;;46.9549132858, 6.72179933612
MOU;Moutier;2014;3300;3900;CFF;;47.2806661619, 7.38103944266
NH;Neuhausen;2014;1500;1700;SBB;;47.683134176, 8.62491498919
NR;Niederried;2014;150;160;ZB;;46.7164243262, 7.92866950781
MX;Montreux;2014;15500;16000;CFF;Passagierfrequenzen: inklusive Bahnverkehr MVR.;46.4358743527, 6.91043275261
MTM;Mettmenstetten;2014;1900;2200;SBB;;47.244071939, 8.45736538581
MAG;Magadino-Vira;2014;70;70;FFS;;46.1453223595, 8.85017913795
MTL;Marthalen;2014;1700;1900;SBB;;47.6310755053, 8.65609788009
MEZ;Mezzovico;2014;460;600;FFS;;46.0942810833, 8.92858485104
MF;Maienfeld;2014;760;850;SBB;;47.0038340592, 9.52919552142
MR;Meiringen;2014;2000;2000;ZB;;46.7273296622, 8.18423402153
MDE;Melide;2014;820;920;FFS;;45.9557228958, 8.9483527013
LUN;Lungern;2014;480;490;ZB;;46.7863494029, 8.16355874167
ML;Meilen;2014;8000;9300;SBB;;47.2698122, 8.64429304135
CHV;Chavornay;2014;1700;2000;CFF;Passagierfrequenzen: ohne TRAVYS.;46.7100764779, 6.56816025319
CORS;Corseaux-Cornalles;2014;110;130;CFF;;46.4704453244, 6.8247755489
DEN;Denges-Echandens;2014;410;490;CFF;;46.5291203863, 6.54050855527
CHAT;Châtillens;2014;290;320;CFF;;46.5705277674, 6.81548498756
DUE;Dübendorf;2014;8600;10100;SBB;;47.4000750283, 8.62340719058
DEU;Deurres, Les;2014;340;390;CFF;;46.9855183801, 6.899149402
CG;Courgenay;2014;700;790;CFF;;47.4052177358, 7.12419139803
DN;Deitingen;2014;550;640;SBB;;47.218217892, 7.61889907416
DA;Dachsen;2014;950;1000;SBB;;47.6670843791, 8.61379705884
BR;Brig;2014;15900;16300;SBB;;46.3194210071, 7.98809158467
LF;Läufelfingen;2014;450;520;SBB;;47.3921249769, 7.85621326784
LDS;Landschlacht;2014;260;270;SBB;;47.6288954671, 9.24694004807
LECH;Léchelles;2014;140;170;CFF;;46.8284488203, 7.01162043632
LOT;Lottstetten;2014;180;220;SBB;;47.6257356296, 8.56680664761
LFG;Laufenburg;2014;810;910;SBB;;47.5597640916, 8.06127319304
LS;Lausanne;2014;94100;107100;CFF;;46.5167786487, 6.62909314109
LQ;Landquart;2014;12400;12300;SBB;;46.9674389764, 9.55402859224
LEN;Lengnau;2014;1100;1300;SBB;;47.1794233382, 7.36654652735
KNO;Knonau;2014;980;1100;SBB;;47.2202591199, 8.4667085831
LA;Lachen;2014;2800;3300;SBB;;47.190068574, 8.85269238166
REU;Reuchenette-Péry;2014;420;500;CFF;;47.1897281967, 7.24701400432
REK;Rekingen AG;2014;180;200;SBB;;47.569967429, 8.32711190205
RG;Reichenburg;2014;410;470;SBB;;47.1726951083, 8.98230203354
QUA;Quartino;2014;50;50;FFS;;46.1513026375, 8.88731923749
REID;Reiden;2014;1300;1500;SBB;;47.2414629092, 7.96875676951
RAR;Raron;2014;640;730;SBB;;46.3062732767, 7.80150766492
FF;Frauenfeld;2014;12800;14400;SBB;Passagierfrequenzen: ohne FW.;47.5581599749, 8.89653893491
